"Purposes for internet usage by individuals (per cent of total population within the corresponding group) by Breakdowns, Purposes and Time period"

"Breakdowns","Purposes","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Pieriga statistical region (before 01.01.2024.)","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.6,.,10.6,.,11.4,.,.
"Pieriga statistical region (before 01.01.2024.)","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.1,.,18.8,.,23.1,.,29.8
"Vidzeme statistical region (before 01.01.2024.)","Using e-mail",18.6,22.9,34.1,39.6,43.6,47.1,54.4,.,57.5,62.9,52.6,64.8,66.5,66.9,66.6,69.8,72.8,79.7,76.2,79.2,77.9
"Vidzeme statistical region (before 01.01.2024.)","Making calls (incl. video calls) over the Internet",2.2,4.9,10.2,11.7,16.9,24.0,24.4,31.9,31.3,33.4,26.5,35.0,32.9,31.7,43.3,37.1,58.0,60.4,57.8,59.7,65.1
"Vidzeme statistical region (before 01.01.2024.)","Using instant messaging, i.e., exchanging messages",.,.,.,.,16.4,.,.,.,.,.,.,.,.,.,.,60.3,68.3,76.1,77.4,76.2,80.2
"Vidzeme statistical region (before 01.01.2024.)","Finding information about goods or services",20.0,21.1,30.6,32.9,43.2,47.3,55.7,51.5,57.5,53.2,44.7,50.1,59.4,52.0,61.2,59.0,69.1,70.7,65.0,68.4,68.7
"Vidzeme statistical region (before 01.01.2024.)","Reading online news sites/ newspapers/ news magazines",17.5,14.3,21.3,.,24.4,40.3,47.6,53.5,54.4,62.0,55.5,64.2,64.6,62.9,.,59.9,66.5,70.7,71.2,70.6,61.8
"Vidzeme statistical region (before 01.01.2024.)","Seeking health-related information",.,2.5,7.6,7.4,17.8,21.2,33.4,32.8,.,34.6,.,38.1,35.9,37.8,6.1,35.6,44.9,54.1,46.3,50.5,45.8
"Vidzeme statistical region (before 01.01.2024.)","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,2.6,.,4.4,.,5.3,.,6.1,.,15.7,.,23.1,.,21.3
"Vidzeme statistical region (before 01.01.2024.)","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.0,.,40.2,.,35.8
"Vidzeme statistical region (before 01.01.2024.)","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.9,.,16.7,.,15.5
"Vidzeme statistical region (before 01.01.2024.)","Internet Banking via website or app",7.3,9.4,21.6,15.1,28.6,37.1,45.3,48.6,44.4,55.1,50.5,59.8,59.3,60.0,64.5,72.0,73.5,78.1,77.8,81.9,78.6
"Vidzeme statistical region (before 01.01.2024.)","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",0.5,0.1,1.3,2.8,.,2.0,.,4.6,1.7,3.4,3.8,3.0,6.0,9.7,12.0,10.6,21.8,25.2,12.4,19.0,4.4
"Vidzeme statistical region (before 01.01.2024.)","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,21.8,34.5,34.7,.,33.7,.,24.0,23.8,23.9,23.3,.,.,.,.,.,.,.
"Vidzeme statistical region (before 01.01.2024.)","Participating in social networks",.,.,.,.,.,.,.,52.0,.,56.3,46.3,55.0,58.2,61.8,62.9,62.5,69.6,70.6,71.6,76.1,71.6
"Vidzeme statistical region (before 01.01.2024.)","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,18.4,.,6.7,.,5.9,.,7.8,.,.,.,.,15.6,.,9.7
"Vidzeme statistical region (before 01.01.2024.)","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,8.4,.,2.1,.,3.5,.,4.0,.,.,.,12.3,8.9,7.2,6.4
"Vidzeme statistical region (before 01.01.2024.)","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,33.6,45.4,.,.,36.7,.,.
"Vidzeme statistical region (before 01.01.2024.)","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.7,.,16.4,.,.
"Vidzeme statistical region (before 01.01.2024.)","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,39.5,.,59.2,.,55.2,.,66.9
"Vidzeme statistical region (before 01.01.2024.)","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.3
"Vidzeme statistical region (before 01.01.2024.)","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.6,.,13.6,.,11.2,.,.
"Vidzeme statistical region (before 01.01.2024.)","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.5,.,23.4,.,36.8,.,44.2
"Kurzeme statistical region (before 01.01.2024.)","Using e-mail",24.3,25.2,39.6,42.4,50.4,50.2,53.7,.,53.6,61.9,59.1,62.5,67.4,68.9,69.4,72.8,71.8,78.6,78.4,83.7,73.9
"Kurzeme statistical region (before 01.01.2024.)","Making calls (incl. video calls) over the Internet",0.8,5.9,12.5,20.2,24.5,28.0,27.8,43.1,37.5,40.7,34.2,31.7,35.6,36.4,48.3,61.2,56.4,72.9,78.3,78.0,76.5
"Kurzeme statistical region (before 01.01.2024.)","Using instant messaging, i.e., exchanging messages",.,.,.,.,16.8,.,.,.,.,.,.,.,.,.,.,63.8,66.3,71.2,74.3,74.1,73.6
"Kurzeme statistical region (before 01.01.2024.)","Finding information about goods or services",11.7,17.9,28.5,29.0,46.0,48.7,52.2,44.2,49.8,48.1,48.8,41.6,54.5,53.2,56.9,56.8,63.1,58.4,58.9,51.1,49.7
"Kurzeme statistical region (before 01.01.2024.)","Reading online news sites/ newspapers/ news magazines",13.1,17.4,23.4,.,30.1,46.0,45.2,56.9,58.1,59.6,61.9,61.8,64.3,63.4,.,67.0,70.3,74.3,61.5,73.6,49.1
"Kurzeme statistical region (before 01.01.2024.)","Seeking health-related information",.,4.1,7.7,11.5,28.9,30.0,30.0,35.6,.,36.5,.,33.6,38.1,38.4,9.4,43.6,38.8,49.0,23.5,43.6,34.3
"Kurzeme statistical region (before 01.01.2024.)","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,1.0,.,5.2,.,6.5,.,9.4,.,14.5,.,16.0,.,21.3
"Kurzeme statistical region (before 01.01.2024.)","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.9,.,31.9,.,36.1
"Kurzeme statistical region (before 01.01.2024.)","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.0,.,16.4,.,12.4
"Kurzeme statistical region (before 01.01.2024.)","Internet Banking via website or app",11.4,9.3,19.1,19.3,36.7,40.3,45.7,53.7,38.0,52.5,56.4,56.4,58.1,59.7,64.6,73.8,73.0,82.2,83.1,86.4,87.6
"Kurzeme statistical region (before 01.01.2024.)","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",0.4,0.4,0.9,2.1,.,2.2,.,6.0,3.1,4.1,3.0,5.4,5.7,8.6,11.4,8.9,11.5,9.9,7.8,7.2,11.3
"Kurzeme statistical region (before 01.01.2024.)","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,21.4,38.1,41.7,.,31.6,.,28.1,20.4,28.8,30.9,.,.,.,.,.,.,.
"Kurzeme statistical region (before 01.01.2024.)","Participating in social networks",.,.,.,.,.,.,.,54.4,.,55.2,50.9,50.3,54.8,62.6,60.4,70.2,65.3,71.6,71.9,73.5,73.6
"Kurzeme statistical region (before 01.01.2024.)","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,22.1,.,4.6,.,4.7,.,5.9,.,.,.,.,23.8,.,21.0
"Kurzeme statistical region (before 01.01.2024.)","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,6.1,.,3.1,.,3.8,.,3.7,.,5.5,.,13.8,10.0,12.1,18.2
"Kurzeme statistical region (before 01.01.2024.)","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,38.5,44.4,.,.,28.6,.,.
"Kurzeme statistical region (before 01.01.2024.)","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.4,.,11.9,.,.
"Kurzeme statistical region (before 01.01.2024.)","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,52.9,.,53.6,.,43.4,.,47.4
"Kurzeme statistical region (before 01.01.2024.)","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22.6
"Kurzeme statistical region (before 01.01.2024.)","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.3,.,8.7,.,9.2,.,.
"Kurzeme statistical region (before 01.01.2024.)","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.2,.,24.5,.,29.8,.,34.4
"Zemgale statistical region","Using e-mail",15.3,22.1,30.6,41.2,50.8,51.0,54.6,.,67.7,63.6,66.6,64.4,63.6,72.4,72.1,74.5,78.6,78.9,78.9,82.7,83.9
"Zemgale statistical region","Making calls (incl. video calls) over the Internet",1.9,7.7,11.5,16.3,28.0,32.7,39.5,41.1,55.4,50.3,46.4,40.9,41.5,49.9,54.3,62.8,61.7,66.0,73.1,73.7,77.5
"Zemgale statistical region","Using instant messaging, i.e., exchanging messages",.,.,.,.,12.9,.,.,.,.,.,.,.,.,.,.,65.3,69.9,73.9,75.0,79.1,80.4
"Zemgale statistical region","Finding information about goods or services",14.7,20.4,29.3,35.0,42.5,45.2,55.8,47.8,57.6,49.1,55.8,47.3,53.3,53.9,57.7,59.6,73.3,61.0,65.9,62.8,67.5
"Zemgale statistical region","Reading online news sites/ newspapers/ news magazines",14.7,16.9,23.8,.,34.8,44.1,51.0,59.3,65.9,61.3,64.7,64.6,63.0,69.3,.,74.7,75.2,72.7,70.4,54.8,67.3
"Zemgale statistical region","Seeking health-related information",.,4.4,9.4,12.3,21.5,24.8,30.3,35.8,.,30.3,.,36.7,28.9,41.3,8.3,51.7,50.9,44.4,36.8,41.9,38.3
"Zemgale statistical region","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,2.6,.,6.0,.,6.0,.,8.3,.,20.0,.,20.8,.,25.1
"Zemgale statistical region","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.4,.,33.2,.,35.3
"Zemgale statistical region","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.0,.,14.8,.,9.1
"Zemgale statistical region","Internet Banking via website or app",8.7,11.0,13.1,21.7,37.0,39.9,47.5,52.8,38.0,48.9,54.9,59.2,51.3,65.0,70.0,74.2,79.3,79.2,84.5,84.6,87.3
"Zemgale statistical region","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",1.3,2.0,3.8,3.4,.,2.4,.,8.9,3.1,3.3,3.1,1.9,2.9,6.9,5.7,5.7,15.9,8.9,8.6,11.0,9.7
"Zemgale statistical region","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,17.9,32.0,40.6,.,33.0,.,27.5,29.7,30.9,40.8,.,.,.,.,.,.,.
"Zemgale statistical region","Participating in social networks",.,.,.,.,.,.,.,56.5,.,54.7,56.3,58.2,57.8,63.4,66.0,69.0,69.3,72.5,75.6,74.6,74.3
"Zemgale statistical region","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,24.1,.,8.5,.,6.5,.,9.3,.,19.1,.,21.6,26.1,25.4,23.8
"Zemgale statistical region","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,13.9,.,3.9,.,4.1,.,6.8,.,9.4,.,14.4,13.6,12.0,16.3
"Zemgale statistical region","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,39.2,41.3,.,.,43.1,.,.
"Zemgale statistical region","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.5,.,11.0,.,.
"Zemgale statistical region","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,57.6,.,64.8,.,53.3,.,55.8
"Zemgale statistical region","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.7
"Zemgale statistical region","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.9,.,9.7,.,4.7,.,.
"Zemgale statistical region","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.2,.,26.0,.,34.5,.,26.8
"Latgale statistical region","Using e-mail",11.0,25.7,26.9,30.4,34.1,38.6,42.8,.,53.2,56.1,57.1,58.1,58.3,58.2,57.2,63.6,62.3,70.9,67.0,70.9,67.6
"Latgale statistical region","Making calls (incl. video calls) over the Internet",2.1,9.2,7.2,10.0,19.6,19.0,27.6,33.4,40.0,42.1,43.4,41.0,39.4,40.0,44.7,50.0,56.0,62.0,64.2,65.9,71.1
"Latgale statistical region","Using instant messaging, i.e., exchanging messages",.,.,.,.,12.2,.,.,.,.,.,.,.,.,.,.,52.6,59.9,67.7,71.0,72.0,73.6
"Latgale statistical region","Finding information about goods or services",7.9,18.4,23.2,26.3,37.8,40.3,47.6,40.9,56.7,34.1,32.5,49.4,43.1,48.0,57.6,61.3,62.3,65.4,64.8,60.8,66.1
"Latgale statistical region","Reading online news sites/ newspapers/ news magazines",11.8,23.1,22.7,.,29.1,37.7,46.8,50.0,57.2,57.6,61.5,63.2,62.6,60.7,.,68.8,66.2,72.0,63.4,65.3,65.4
"Latgale statistical region","Seeking health-related information",.,5.8,7.5,8.3,18.6,26.8,28.6,28.1,.,33.5,.,38.3,30.1,40.8,4.0,50.5,45.4,56.3,45.8,48.3,49.4
"Latgale statistical region","Making an appointment with a practitioner",.,.,.,.,.,.,.,.,0.2,.,0.8,.,2.9,.,4.0,.,9.0,.,14.5,.,22.3
"Latgale statistical region","Accessing personal health records online",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14.1,.,30.6,.,32.6
"Latgale statistical region","For other health services via a website or app (e-veseliba, doconline.lv, etc.) instead of having to go to the hospital or visit a doctor",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6.3,.,8.5,.,10.7
"Latgale statistical region","Internet Banking via website or app",3.5,8.4,9.6,12.1,20.9,25.5,29.9,35.2,25.9,30.0,37.1,51.6,45.9,47.9,56.2,64.0,64.4,68.6,71.7,69.8,71.5
"Latgale statistical region","Selling of goods or services via a website or app (e.g. eBay, Facebook Marketplace, shpock)",0.4,0.4,0.9,0.5,.,2.6,.,4.9,1.9,2.8,4.2,5.2,3.6,8.9,11.2,12.1,10.4,16.1,9.1,10.6,12.7
"Latgale statistical region","Sharing with self-created content (e.g. video, photos, music, texts etc.) or publishig it",.,.,.,.,15.5,29.1,26.8,.,23.4,.,33.4,25.6,24.8,24.2,.,.,.,.,.,.,.
"Latgale statistical region","Participating in social networks",.,.,.,.,.,.,.,42.4,.,49.3,47.0,51.2,52.2,50.1,50.6,57.5,58.9,63.3,63.7,65.7,66.6
"Latgale statistical region","Posting opinions on civic or political issues via websites",.,.,.,.,.,.,.,19.1,.,5.6,.,3.3,.,5.8,.,8.4,.,16.3,10.8,9.2,14.8
"Latgale statistical region","Taking part in on-line consultations or voting to define civic or political issues",.,.,.,.,.,.,.,7.1,.,2.7,.,3.4,.,2.8,.,3.8,.,7.5,4.6,6.2,9.5
"Latgale statistical region","Listening to music",.,.,.,.,.,.,.,.,.,.,.,.,.,.,32.5,41.3,.,.,40.7,.,.
"Latgale statistical region","Playing games",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17.7,.,17.3,.,.
"Latgale statistical region","Watching video content from sharing services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,54.3,.,59.6,.,68.1,.,65.1
"Latgale statistical region","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9.8
"Latgale statistical region","Watching video on demand from commercial services",.,.,.,.,.,.,.,.,.,.,.,.,.,.,8.5,.,6.2,.,5.3,.,.
"Latgale statistical region","Watching internet-streamed TV",.,.,.,.,.,.,.,.,.,.,.,.,.,.,12.1,.,19.3,.,15.6,.,28.3
